Name_Station,Venue_Name,Venue_Address,Venue_Distance,Venue_Phone,Venue_Rating,Venue_Price,Venue_Review_Count,Venue_URL,Venue_Subcategory,Venue_Category
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Sophra Grill,535 3rd Ave,1351.4593407917678,(646) 609-2392,4.6,$$,142,http://sophragrill.com,Mediterranean,restaurant
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Sushi Zo Hanare,127 E 39th St,1165.2760776716623,(917) 265-8054,4.6,$$$$,37,http://sushizo.us,Sushi Bars,restaurant
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",The Greats Of Craft,983 1st Ave,160.30778069153084,(646) 781-9600,4.6,$$,111,http://greatsofcraft.com,Bars,restaurant
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Halal Cart,55TH And Madison,901.1956349777527,,4.6,$,5,,Halal,restaurant
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Kjun,154 E 39th St,1124.7126635861473,(347) 675-8026,4.6,$$$,160,https://www.kjun.nyc,Korean,restaurant
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Osteria Delbianco,22 East 49th St,925.7258228379754,(212) 838-5972,4.6,$$$,222,https://osteriadelbianco.com,Italian,restaurant
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Friars Club,57 E 55th St,844.167887047737,(212) 751-7272,4.6,$$$$,16,http://www.friarsclub.com,Restaurants,restaurant
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Da Raffaele,883 First Ave,198.6543911998378,(646) 895-9849,4.6,$$,228,http://www.daraffaelerestaurant.com,Italian,restaurant
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Mama Jo's Breakfast Cart,N W Corner Of 47th And Park Ave,822.2683309656926,(516) 476-1360,4.6,$,63,http://www.mamajosbreakfastcart.com/,Breakfast & Brunch,restaurant
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Caffe Taci,22 E 54th St,914.4267625032797,(212) 866-0111,4.5,$$$,17,http://www.taciopera.com/,Italian,restaurant
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Bonsaii Tapas & Wine Bar,127 E 55th St,656.9555825485658,(646) 484-2135,4.7,$$,16,http://www.bonsaiirestaurant.com,Tapas Bars,coffee
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",A La Mode Shoppe,360 E 55th St,235.24837220639867,(917) 639-3401,4.6,$$,119,http://www.alamodeshoppe.com,Ice Cream & Frozen Yogurt,coffee
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",The Greats Of Craft,983 1st Ave,160.30778069153084,(646) 781-9600,4.6,$$,111,http://greatsofcraft.com,Bars,coffee
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Remi Flower & Coffee,906 2nd Ave,311.83967567168463,(646) 559-1233,4.5,$$,664,https://www.reminyc.com,Coffee & Tea,coffee
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Le Café Coffee,661 Lexington Ave,593.7804526527385,(646) 682-7384,4.5,$,80,http://www.lecafecoffee.com,Sandwiches,coffee
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Remi 43,810 2nd Ave,689.2489053214452,(212) 918-8122,4.5,$$,134,https://www.remi43.com,Coffee & Tea,coffee
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Mama’s Cupboard,235 E 53rd St,337.0515326802391,(212) 371-2947,4.5,$$,118,,Thai,coffee
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Ten Thousand Coffee,750 3rd Ave,593.1022015817005,,4.5,$$,131,http://10000coffeeus.com,Coffee & Tea,coffee
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Tudor Cafe,5 Tudor City Pl,896.1902672084531,(212) 573-6490,4.4,$,51,,Cafes,coffee
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Eclair Bakery,305 E 53rd St,175.7928273112239,(646) 429-8555,4.4,$$,743,http://www.eclairbakery-nyc.com/,Bakeries,coffee
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Slate Cafe Midtown,941 2nd Ave,258.1229372433796,(917) 970-1188,4.4,$$,251,https://www.slatecafe.com,Cafes,coffee
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Little Collins,708 3rd Ave,722.8567612891519,(212) 308-1969,4.4,$$,1194,http://www.littlecollinsnyc.com,Coffee & Tea,coffee
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",K Minamoto,509 Madison Ave,856.5393980868943,(212) 489-3747,4.4,$$$,172,http://www.kitchoan.com/,Desserts,coffee
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Ground Central,800 2nd Ave,773.7177279881838,(646) 861-0015,4.4,$,131,https://groundcentral.com,Coffee & Tea,coffee
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Matto Espresso,844 2nd Ave,575.761838879011,,4.3,$,35,http://matto.com,Coffee & Tea,coffee
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Zibetto Espresso Bar,1385 6th Ave,1385.4232130797777,(646) 707-0505,4.3,$$$,540,http://www.zibettoespresso.com,Coffee & Tea,coffee
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Carol's Cafe,217 E 51st St,309.97817757194883,(646) 709-1492,4.3,$,57,,Cafes,coffee
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Perk Coffee,162 E 37th St,1257.2773568849148,(212) 686-7375,4.3,$,454,http://www.perkcoffee.com,Coffee & Tea,coffee
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Pickler Sandwich Shop,216 E 45th St,635.6107335475457,,4.3,$$,384,http://picklernyc.com/,Coffee & Tea,coffee
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Birch Coffee,134 1/2 E 62nd St,960.4476652675035,(212) 686-1444,4.2,$$,275,http://www.birchcoffee.com,Coffee & Tea,coffee
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Charoen Krung,955 2nd Ave,227.25238688478822,(929) 789-9456,4.8,$$,121,http://www.charoenkrungnyc.com,Thai,bar
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",The Blasket,1085 2nd Ave,483.5516718925816,(212) 888-7405,4.7,$$,101,http://www.theblasketpub.com,Irish Pub,bar
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Bonsaii Tapas & Wine Bar,127 E 55th St,656.9555825485658,(646) 484-2135,4.7,$$,16,http://www.bonsaiirestaurant.com,Tapas Bars,bar
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",The Greats Of Craft,983 1st Ave,160.30778069153084,(646) 781-9600,4.6,$$,111,http://greatsofcraft.com,Bars,bar
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Strangelove,229 E 53rd St,305.271174596711,,4.6,$,62,http://www.strangeloveny.com,Dive Bars,bar
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Madam Mikette’s,987 2nd Ave,195.98617534403567,(347) 379-1381,4.5,$$,90,https://www.madammikettes.com,Cocktail Bars,bar
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Frida Midtown,214 E 52nd St,323.2441842255569,(212) 688-5200,4.5,$$$,197,http://www.fridamidtown.com,Mexican,bar
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Sea Fire Grill,158 E 48th St,542.2846789388587,(212) 935-3785,4.5,$$$,1558,https://theseafiregrill.com,Seafood,bar
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Sutton Bar Room,1074 1st Ave,544.2881205589613,(212) 980-9850,4.4,$$,77,http://www.suttonbarroom.com,Bars,bar
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",The Alvin Public House,406 E 64th St,969.2970059758367,(646) 476-5075,4.4,$$,87,http://thealvinnyc.com,Burgers,bar
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Spice Symphony - Midtown East,150 E 50th St,489.6959381065958,(212) 300-4869,4.4,$$,674,http://www.spicesymphony.com,Chinese,bar
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Le Botaniste,666 Third Ave,841.2940941033718,(917) 261-6728,4.3,$$,154,http://www.lebotaniste.us,Vegan,bar
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Judge Roy Bean Public House,38 W 56th St,1218.0172684196205,(212) 262-8300,4.3,$$,916,http://www.judgeroybeannyc.com,Pubs,bar
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Rarities,455 Madison Ave,813.1366537070554,(917) 202-8379,5.0,$$$$,2,http://www.raritiesnyc.com,Lounges,bar
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",The Jeffrey Craft Beer & Bites,311 E 60th St,696.3485616754132,(212) 355-2337,4.2,$$,736,http://thejeffreynyc.com/,Bars,bar
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",The Horny Ram,951 2nd Ave,230.57628584414795,(917) 261-4136,4.2,$$,752,https://www.thehornyramnyc.com,New American,bar
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Izakaya Toribar,164 E 56th St,542.1005711224105,(646) 767-0029,4.2,$$,185,http://www.izakayatoribar.com,Tapas/Small Plates,bar
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",The Shadmoor,1066 2nd Ave,378.37533371385643,(212) 385-9195,4.2,$$$,449,http://shadmoornyc.com,Seafood,bar
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Sofia Wine Bar,242 E 50th St,281.88262015060224,(212) 888-8660,4.2,$$$,753,https://www.sofiawinebar.com,Italian,bar
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Treadwell Park,1125 1st Ave,810.0551432560762,(212) 832-1551,4.1,$$,608,http://treadwellpark.com,Bars,bar
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Aman New York,730 5th Ave,1143.3529696917442,(754) 216-7830,5.0,$$$$,7,https://www.aman.com/hotels/aman-new-york,Hotels,hotel
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",San Carlos Hotel,150 E 50th St,489.6959381065958,(212) 755-1800,4.5,$$$,66,http://www.sancarloshotel.com,Hotels,hotel
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Hotel Elysée,60 E 54th St,809.695606011397,(212) 753-1066,4.3,$$$,81,http://www.elyseehotel.com,Hotels,hotel
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Four Seasons Hotel,57 E 57th St,922.6033632340907,(212) 758-5700,4.2,$$$$,147,http://www.fourseasons.com/newyork,Hotels,hotel
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Baccarat Hotel,28 W 53rd St,1159.9114220481706,(212) 790-8800,4.2,$$$$,286,https://www.baccarathotels.com,Hotels,hotel
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",The Whitby Hotel,18 W 56th St,1168.34499281093,(212) 586-5656,4.2,$$,24,https://www.firmdalehotels.com/hotels/new-york/the-whitby-hotel/,Hotels,hotel
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",AKA Sutton Place,330 E 56th St,309.9155659714982,(212) 752-8888,4.1,$$$$,8,http://stayaka.com/locations/sutton_place/default.aspx,Hotels,hotel
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave","The Bernic Hotel New York City, Tapestry Collection by Hilton",145 147 East 47th St,580.382597509065,(212) 754-9700,4.1,$$$,101,https://ad.doubleclick.net/ddm/clk/527828042;335844752;o,Hotels,hotel
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",The St. Regis New York,Two East 55th Street At Fifth Ave,1048.2436068286656,(212) 753-4500,4.1,$$$$,255,https://www.marriott.com/setSCtracking.mi?scid=dfedf519-6161-4ae6-be84-577f767ed579&mid=/hotels/travel/NYCXR,Hotels,hotel
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",The Jewel Facing Rockefeller,11 W 51st St,1116.656203671986,(212) 863-0550,4.0,$$,145,http://www.thejewelny.com/,Hotels,hotel
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Residence Inn by Marriott New York Manhattan/Midtown East,148 E 48th St,577.1539299120176,(212) 980-1003,4.0,$$,79,http://www.marriott.com/setSCtracking.mi?scid=974abde0-8e7a-44f2-857d-c8272b302901&mid=/hotels/travel/nycha-residence-inn-new-york-manhattan-midtown-east/,Hotels,hotel
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Club Quarters Grand Central,128 E 45th St,766.4687314035328,(212) 986-6400,4.0,$$,114,http://www.clubquarters.com,Hotels,hotel
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Best Western Plus Hospitality House,145 E 49th St,525.3180119054384,(212) 753-8781,4.0,$$,37,https://www.bestwestern.com/en_US/book/hotel-rooms.33114.html?iata=00171910&ssob=BLBWI0005G&cid=BLBWI0005G:yelp:businessurl:33114,Hotels,hotel
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",The Peninsula New York,700 5th Ave,1075.4434500620393,(212) 956-2888,3.9,$$$$,212,https://www.peninsula.com/en/new-york/5-star-luxury-hotel-midtown-nyc,Hotels,hotel
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Kimberly Hotel,145 E 50th St,483.1261675461184,(212) 702-1600,3.9,$$$,213,http://www.kimberlyhotel.com,Hotels,hotel
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Omni Berkshire Hotel,21 East 52nd Street At Madison Ave,889.6857185530043,(212) 753-5800,3.9,$$$,263,https://www.omnihotels.com/hotels/new-york-berkshire?utm_source=yelp&utm_medium=sponsored&utm_content=NYCBER&utm_campaign=prospecting-nycber-leisure-sponsored_website,Hotels,hotel
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",The Lombardy,111 E 56th St,732.6320105860405,(212) 753-8600,3.9,$$$,63,http://www.lombardyhotel.com/,Hotels,hotel
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Fitzpatrick Manhattan Hotel,687 Lexington Ave,664.893022976142,(212) 355-0100,3.9,$$$,87,http://www.fitzpatrickhotels.com/manhattan,Hotels,hotel
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Lotte New York Palace,455 Madison Ave,831.3245987877451,(212) 888-7000,3.8,$$$,527,https://www.lottenypalace.com,Hotels,hotel
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Fitzpatrick Grand Central Hotel,141 E 44th St,789.7245468533783,(212) 351-6800,3.8,$$,112,https://www.fitzpatrickhotels.com/fitzpatrick-grand-central/,Hotels,hotel
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Reverie,1050 2nd Ave,318.7413923873103,(917) 428-1915,5.0,$$,15,http://reverienyc.com,Jewelry,shopping
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Hide N Go Sleep Murphy Beds,309 East 37th St,1171.9645938683352,(201) 815-0110,5.0,$$,16,http://www.hidengosleep.com,Furniture Stores,shopping
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Q the Stylist,,570.6938167098136,(415) 310-3961,5.0,$$,19,http://www.qthestylist.com,Personal Shopping,shopping
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",McNally Jackson,1 Rockefeller Ctr,1055.585834734587,,4.9,$$,9,https://www.mcnallyjackson.com,Bookstores,shopping
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",madonna &,202 E 60th St,736.1420327978557,(212) 226-3363,4.8,$$$,24,http://www.MadonnaAndCo.com,Women's Clothing,shopping
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Turtle Bay Chemists,901 2nd Ave,351.5274676519484,(212) 752-5151,4.7,$$,18,,Drugstores,shopping
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Galleria On Third,907 2nd Bet Ave 48th 49th St,342.4073396524171,(212) 683-2886,4.7,$$,62,http://www.galleriaonthird.com,Art Galleries,shopping
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Illume,215 E 58th St,611.7885752598283,(212) 308-1400,4.6,$$$,28,http://www.illumenyc.com,Home Decor,shopping
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Illisa's Vintage Lingerie,1050 Second Ave,318.7413923873103,(212) 627-2800,4.5,$$$,8,,Lingerie,shopping
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Katagiri Japanese Grocery,370 Lexington Ave,1059.4145378932403,(917) 472-7025,4.4,$$,205,http://www.katagiri.com,Convenience Stores,shopping
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Quest Bookshop,240 E 53rd St,262.13199725105653,(212) 758-5521,4.4,$$,35,http://www.questbookshopnyc.com,Bookstores,shopping
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Trader Joe's,405 E 59th St,611.000823560258,(212) 935-3870,4.3,$$,70,https://locations.traderjoes.com,Grocery,shopping
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Mikimoto,730 5th Ave,1102.9683112257048,(212) 457-4600,4.3,$$$$,23,http://www.mikimotoamerica.com,Jewelry,shopping
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Argosy Book Store,116 E 59th St,855.1788020592069,(212) 753-4455,4.2,$$$,74,http://www.argosybooks.com,Antiques,shopping
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Chartwell Booksellers,55 E 52nd St,794.1932132096049,(212) 308-0643,4.2,$$,5,http://www.chartwellbooksellers.com,Bookstores,shopping
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Tia's,89 E 42nd St,940.9228654994608,(212) 922-9577,4.2,$$,6,,Jewelry,shopping
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Just Shades,230 E 59th St,622.0809759350553,(212) 966-2757,4.1,$$$,37,http://www.justlampshades.com,Home Decor,shopping
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Goodman's Cafe,754 Fifth Ave,1146.7232379952177,(212) 753-7300,4.1,$$,16,http://www.bergdorfgoodman.com/stores/bergdorf-goodman-womens-store,Cosmetics & Beauty Supply,shopping
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",MTC Kitchen,711 Third Ave,661.4643568445615,(212) 661-3333,4.1,$$,32,https://www.mtckitchen.com,Wholesale Stores,shopping
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Victoria's Secret,640 5th Ave,1073.465460500583,(646) 495-2867,4.1,$$,35,https://www.victoriassecret.com/us/store-locator#/store/1775,Lingerie,shopping
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",O&CO,,648.8679887066544,,4.7,$$$,20,,Imported Food,supermarket
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Midtown Catch,405 E 57th St,448.13527323206034,(646) 918-7560,4.7,$$,27,https://midtowncatch.com,Seafood Markets,supermarket
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Roy's Fish Market,1138 1st Ave,855.1823416982271,(212) 838-3587,4.5,$$,262,https://roysfishmarket.wordpress.com,Seafood Markets,supermarket
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Katagiri Japanese Grocery,370 Lexington Ave,1059.4145378932403,(917) 472-7025,4.4,$$,205,http://www.katagiri.com,Convenience Stores,supermarket
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Eclair Bakery,305 E 53rd St,175.7928273112239,(646) 429-8555,4.4,$$,743,http://www.eclairbakery-nyc.com/,Bakeries,supermarket
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Murray's Cheese at Grand Central,43rd St & Lexington Ave,929.5837946996552,(646) 942-1891,4.4,$$,122,http://www.murrayscheese.com/,Cheese Shops,supermarket
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Dag Hammarskjöld Plaza Greenmarket,47th St at 2nd Ave,427.893972844768,(212) 477-3220,4.4,$$,31,,Farmers Market,supermarket
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",East 67th Street Market,408 E 67th St,1205.6634296799357,,4.3,$$,19,,Farmers Market,supermarket
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Trader Joe's,405 E 59th St,611.000823560258,(212) 935-3870,4.3,$$,70,https://locations.traderjoes.com,Grocery,supermarket
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",49th and 2nd Fruit Stand,49T H And 2nd Ave,286.71225265682796,,4.3,$,7,,Fruits & Veggies,supermarket
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Ideal Cheese Shop,942 1st Ave,74.73729388013082,(212) 688-7579,4.2,$$,83,http://www.idealcheese.com,Cheese Shops,supermarket
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Dainobu,36 W 56th St,1231.6165705602577,(212) 707-8525,4.1,$$,142,http://www.dainobu.us/,International Grocery,supermarket
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Teuscher,620 Fifth Ave,1048.4123684173048,(212) 246-4416,4.1,$$$,156,http://www.teuschernyc.com,Chocolatiers & Shops,supermarket
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Grand Central Market,105 E 42nd St,903.9923226514076,,4.1,$$$,280,http://www.grandcentralterminal.com/grand-central-market/,Specialty Food,supermarket
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Li-Lac Chocolates - Grand Central Market,43rd St & Lexington Ave,932.4558563788343,(347) 491-4977,4.0,$$$,45,http://www.li-lacchocolates.com,Chocolatiers & Shops,supermarket
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Fruit & Vegetable Stand,752 2nd Ave,918.9725937891964,,4.3,$,4,,Fruits & Veggies,supermarket
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Katagiri Japanese Grocery Store,224 E 59th St,626.986081844432,(212) 755-3566,4.0,$$,211,http://www.katagiri.com/,International Grocery,supermarket
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Sussex Wines & Spirits,300 E 42nd St,800.4419703737295,(212) 867-5838,3.8,$$,60,http://www.sussexwine.com,"Beer, Wine & Spirits",supermarket
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Dainobu,129 E 47th St,622.3640263094843,(212) 755-7380,3.7,$,224,https://dainobunyc.com,Japanese,supermarket
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",The Amish Market,240 E 45th St,605.7099432292678,(212) 370-1761,3.7,$$,242,http://eastamish.com,Grocery,supermarket
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",The OJ Gallery,249 E 57th St,497.17118047187523,(212) 754-0123,5.0,$$,40,http://www.ojgallery.com,Art Galleries,museum
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Decor Art Gallery,560 3rd Ave,1258.885339858446,(212) 725-6787,4.9,$$,95,http://www.decorartgallery.net/,Art Galleries,museum
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Galleria On Third,907 2nd Bet Ave 48th 49th St,342.4073396524171,(212) 683-2886,4.7,$$,62,http://www.galleriaonthird.com,Art Galleries,museum
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",City Gallery Framing,315 E 57th St,456.66121622363323,(212) 688-5035,4.5,$$,28,http://citygalleryframing.com/,Art Galleries,museum
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Tomi Jazz,239 E 53rd St,274.46444721781745,(646) 497-1254,4.4,$$,806,http://www.tomijazz.com,Japanese,museum
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Phillips Art Auction,450 Park Ave,838.3294529614866,(212) 940-1200,4.5,$$$$,4,http://www.phillips.com/,Art Galleries,museum
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Argosy Book Store,116 E 59th St,855.1788020592069,(212) 753-4455,4.2,$$$,74,http://www.argosybooks.com,Antiques,museum
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Pace Gallery,32 E 57th St,907.0690927487409,(212) 421-3292,4.7,$,3,http://www.pacegallery.com,Art Galleries,museum
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Estate Silver Company,1050 Second Ave,320.5360846278859,(212) 758-4858,5.0,$$,1,http://www.EstateSilver.com,Antiques,museum
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Wally Findlay Galleries International,724 Fifth Ave,1111.5165025700253,(212) 421-5390,4.3,$$$$,3,http://www.wallyfindlay.com,Art Galleries,museum
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Manhattan Art & Antiques Center,1050 2nd Ave,318.7413923872204,(212) 355-4400,3.8,$$$$,10,http://www.the-maac.com,Antiques,museum
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Macklowe Gallery,445 Park Avenue,764.0266008344158,(212) 644-6400,3.0,$$$$,4,http://www.macklowegallery.com,Jewelry,museum
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Phyllis Lucas Gallery/Old Print Center,133 E 54th St,620.1583433884325,(212) 755-1516,3.0,$$,3,http://www.phyllislucasgallery.com,Art Galleries,museum
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",The Vein Treatment Center,327 East 65th St,1090.6753408519273,(212) 249-6117,3.8,$$$$,41,https://veintreatmentcenter.com,Medical Spas,hospital
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",Allure Plastic Surgery,150 E 61st St,913.9145856666107,(212) 661-2563,3.7,$$,45,http://www.newyorkplasticsurgeryallure.com,Tattoo Removal,hospital
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave","Sheryl D Clark, MD",109 E 61st St,1008.4885690938318,(212) 750-2905,3.6,$$,23,http://sherylclarkmd.com,Dermatologists,hospital
"Icon Pkg: E 52 St, 1st Ave & 2nd Ave",LaserKlinic,136 E 57th St,653.9461359893131,(212) 229-1600,3.5,$$,13,http://www.laserklinic.com,Medical Spas,hospital
